Date,Temp,Cond,pH
2020-May-15 15:50,19.51,179.50,7.00
2020-May-15 15:57,19.51,179.50,7.00
2020-May-15 15:57,19.51,179.60,7.00
2020-May-15 16:03,19.53,179.80,7.00
2020-May-15 17:01,19.62,180.80,7.00
2020-May-15 18:01,19.70,181.70,7.00
2020-May-15 19:01,19.65,181.80,7.00
2020-May-15 20:01,19.50,182.00,7.00
2020-May-15 21:01,19.36,181.40,7.00
2020-May-15 22:01,19.23,180.30,7.00
2020-May-15 23:01,19.02,180.20,7.00
2020-May-16 00:01,18.78,178.80,7.00
2020-May-16 01:01,18.55,178.40,7.00
2020-May-16 02:01,18.33,177.80,7.00
2020-May-16 03:01,18.08,176.50,7.00
2020-May-16 04:01,18.32,175.30,7.00
2020-May-16 05:01,18.47,176.60,7.00
2020-May-16 06:01,18.63,176.80,7.00
2020-May-16 06:24,18.68,177.40,7.00
2020-May-16 06:25,18.69,177.60,7.00
2020-May-16 06:29,18.70,177.90,7.00
2020-May-16 07:01,18.75,177.80,7.00
2020-May-16 08:01,18.90,178.90,7.00
2020-May-16 09:01,19.15,179.00,7.00
2020-May-16 10:01,19.39,179.90,7.00
2020-May-16 11:01,19.61,181.40,7.00
2020-May-16 12:01,19.75,181.80,7.00
2020-May-16 13:01,19.87,182.90,7.00
2020-May-16 14:01,19.97,182.90,7.00
2020-May-16 15:01,20.07,183.10,7.00
2020-May-16 16:01,20.16,184.30,7.00
2020-May-16 17:01,20.17,184.10,7.00
2020-May-16 18:01,20.24,181.00,7.00
2020-May-16 19:01,20.23,182.90,7.00
2020-May-16 20:01,20.13,180.40,7.00
2020-May-16 21:01,20.02,181.40,7.00
2020-May-16 22:01,19.83,180.50,7.00
2020-May-16 23:01,19.64,179.80,7.00
2020-May-17 00:01,19.41,182.40,7.00
2020-May-17 01:01,19.16,178.10,7.00
2020-May-17 02:01,18.96,178.00,7.00
2020-May-17 03:01,18.69,179.00,7.00
2020-May-17 04:01,18.87,174.40,7.00
2020-May-17 05:01,18.97,175.30,7.01
2020-May-17 06:01,19.09,181.00,7.00
2020-May-17 07:01,19.20,180.80,7.00
2020-May-17 08:01,19.32,181.70,7.00
2020-May-17 09:01,19.47,180181.41,7.00
2020-May-17 10:01,19.69,180.20,7.00
2020-May-17 11:01,19.93,183.20,7.00
2020-May-17 12:01,20.11,186.10,7.00
2020-May-17 13:01,20.29,186.00,7.00
2020-May-17 14:01,20.47,187.30,7.00
2020-May-17 15:01,20.65,187.20,7.00
2020-May-17 16:01,20.75,188.00,7.00
2020-May-17 17:01,20.75,189.60,7.00
2020-May-17 18:01,20.80,190.50,7.00
2020-May-17 19:01,20.75,189.80,7.00
2020-May-17 20:01,20.63,190.50,7.00
2020-May-17 21:01,20.38,189.50,7.00
2020-May-17 22:01,20.19,188.70,7.00
2020-May-17 23:01,19.95,187.90,7.00
2020-May-18 00:01,19.69,186.60,7.00
2020-May-18 01:01,19.40,185.60,7.00
2020-May-18 02:01,19.15,184.50,7.00
2020-May-18 03:01,18.84,183.80,7.00
2020-May-18 04:01,19.06,183.30,7.00
2020-May-18 05:01,19.09,183.50,7.00
2020-May-18 06:01,18.95,183.80,7.00
2020-May-18 07:01,18.83,183.20,7.00
2020-May-18 08:01,18.75,182.70,7.00
2020-May-18 09:01,18.91,182.60,7.00
2020-May-18 10:01,19.13,182.70,7.00
2020-May-18 11:01,19.37,184.60,7.00
2020-May-18 12:01,19.56,185.30,7.00
2020-May-18 13:01,19.74,186.20,7.00
2020-May-18 14:01,19.88,188.40,7.00
2020-May-18 15:01,19.96,189.30,7.00
2020-May-18 16:01,20.08,189.50,7.00
2020-May-19 07:01,19.40,188.80,7.01
2020-May-19 08:01,19.41,188.60,7.01
2020-May-19 09:01,19.52,188.90,7.00
2020-May-19 10:01,19.68,189.80,7.00
2020-May-19 11:01,19.77,190.40,7.00
2020-May-19 12:01,19.86,190.50,7.00
2020-May-19 13:01,19.96,191.70,7.00
2020-May-19 21:01,20.38,194.50,7.00
2020-May-19 22:01,20.36,195.30,7.00
2020-May-19 23:01,20.35,195.00,7.00
2020-May-20 00:01,20.28,195.70,7.00
2020-May-20 01:01,20.26,195.80,7.00
2020-May-22 14:01,18.82,107.60,7.00
2020-May-22 15:01,18.96,107.90,7.00
2020-May-22 16:01,19.06,108.30,7.00
2020-May-22 17:01,19.16,108.50,7.00
2020-May-22 18:01,19.18,109.20,7.00
2020-May-22 19:01,19.14,109.10,7.00
2020-May-22 20:01,19.09,109.60,7.00
2020-May-22 21:01,19.03,109.10,7.00
2020-May-22 22:01,18.91,109108.60,7.00
2020-May-22 23:01,18.85,109.00,7.00
2020-May-23 00:01,18.74,108.90,7.00
2020-May-23 01:01,18.64,108.70,7.00
2020-May-23 02:01,18.58,108.20,7.00
2020-May-23 03:01,18.47,108.40,7.00
2020-May-23 04:01,18.72,107.80,7.00
2020-May-23 05:01,18.91,108.30,7.00
2020-May-23 06:01,19.05,108.90,7.01
2020-May-23 07:01,19.17,109.40,7.00
